Model,BIRADS,k,Precision,Recall,NDCG,Search Time (s),Count
DenseNet121,1,1,1.0,0.0012484394506866417,1.0,0.0007688404167614256,24
DenseNet121,1,5,0.85,0.005305867665418227,0.9747166312403679,0.0006608220831064198,24
DenseNet121,1,10,0.8375,0.010455680399500622,0.9622539240290661,0.0006867666675437552,24
DenseNet121,1,20,0.8354166666666667,0.020859342488555973,0.9542742159895924,0.0006671016642940231,24
DenseNet121,1,50,0.7958333333333333,0.04967748647523928,0.9494890542534314,0.0006537199966260232,24
DenseNet121,1,100,0.7862499999999999,0.0981585518102372,0.9484354788508126,0.0007734466654558976,24
DenseNet121,2,1,1.0,0.003003003003003003,1.0,0.0006604799942579121,2
DenseNet121,2,5,0.2,0.003003003003003003,1.0,0.0006042399967554956,2
DenseNet121,2,10,0.15000000000000002,0.0045045045045045045,0.8951932397747531,0.0008076049969531595,2
DenseNet121,2,20,0.25,0.015015015015015015,0.6834518961029141,0.0004570400051306933,2
DenseNet121,2,50,0.26,0.03903903903903904,0.6675947016839949,0.0006308399955742062,2
DenseNet121,2,100,0.28,0.08408408408408408,0.6857244011867807,0.000708264991408214,2
DenseNet121,4,1,1.0,0.003134796238244514,1.0,0.0006577999913133681,1
DenseNet121,4,5,0.4,0.006269592476489028,0.8503449055347546,0.0008477299939841032,1
DenseNet121,4,10,0.6,0.018808777429467086,0.8014787115756214,0.0008059999905526638,1
DenseNet121,4,20,0.5,0.03134796238244514,0.8001755239744569,0.00046902999747544527,1
DenseNet121,4,50,0.44,0.06896551724137931,0.7877430345397238,0.0006229400052689016,1
DenseNet121,4,100,0.4,0.12539184952978055,0.7949312872311597,0.0006482099997811019,1
ResNet50,1,1,1.0,0.0012484394506866417,1.0,0.0016703366631797203,24
ResNet50,1,5,0.8666666666666666,0.00540990428630878,0.974073960470888,0.001708032499300316,24
ResNet50,1,10,0.7833333333333333,0.009779442363712027,0.9593181908188414,0.0019322733297788847,24
ResNet50,1,20,0.7729166666666667,0.01929879317519767,0.9436656445219093,0.0017769254166826916,24
ResNet50,1,50,0.7666666666666666,0.04785684560965461,0.9368496514461925,0.0016827495841425842,24
ResNet50,1,100,0.74625,0.09316479400749063,0.9359232272903634,0.0016484070850613837,24
ResNet50,2,1,1.0,0.003003003003003003,1.0,0.0012777800031471996,2
ResNet50,2,5,0.6000000000000001,0.009009009009009009,0.937775191189971,0.0012197599979117512,2
ResNet50,2,10,0.4,0.012012012012012012,0.9244848065709746,0.0013690599997062238,2
ResNet50,2,20,0.35,0.02102102102102102,0.8326466607095995,0.001123415003530681,2
ResNet50,2,50,0.31,0.046546546546546545,0.7688059133657859,0.0017857400176580994,2
ResNet50,2,100,0.265,0.07957957957957958,0.7481885988927538,0.0013152350089512765,2
ResNet50,4,1,1.0,0.003134796238244514,1.0,0.00140990000218153,1
ResNet50,4,5,0.4,0.006269592476489028,1.0,0.0010652100201696158,1
ResNet50,4,10,0.4,0.012539184952978056,0.8899603164338973,0.0013188600074499845,1
ResNet50,4,20,0.35,0.0219435736677116,0.8223918410372468,0.0012651499942876398,1
ResNet50,4,50,0.3,0.047021943573667714,0.775616035136249,0.0018587099853903054,1
ResNet50,4,100,0.3,0.09404388714733543,0.7583777529332884,0.0013097100076265634,1
VGG16,1,1,1.0,0.0012484394506866415,1.0,0.0022194807126652448,14
VGG16,1,5,0.7571428571428571,0.004726235063313715,0.9410397697189686,0.0023098750031619736,14
VGG16,1,10,0.8071428571428573,0.010076689851970749,0.926855370835952,0.002158373569337917,14
VGG16,1,20,0.7821428571428571,0.019529159978598176,0.9275814385177654,0.0021358985728251617,14
VGG16,1,50,0.7700000000000001,0.048064918851435705,0.9296749187207636,0.0020888221391942353,14
VGG16,1,100,0.7664285714285715,0.09568396647048334,0.9337992465006455,0.002073592143798513,14
VGG16,2,1,1.0,0.003003003003003003,1.0,0.0021096399985253813,2
VGG16,2,5,0.4,0.006006006006006006,0.9197207891481876,0.0025775899994187057,2
VGG16,2,10,0.35,0.01051051051051051,0.8357112180044541,0.0020720699860248713,2
VGG16,2,20,0.35,0.021021021021021023,0.7803663264630946,0.0019219349953345955,2
VGG16,2,50,0.3,0.04504504504504504,0.7453286517909345,0.002035685005830601,2
VGG16,2,100,0.25,0.07507507507507508,0.7365778726438161,0.0019509249890688808,2
VGG16,4,1,1.0,0.003134796238244514,1.0,0.0017918200115673243,1
VGG16,4,5,0.4,0.006269592476489028,0.8772153153380493,0.0017920699901878834,1
VGG16,4,10,0.3,0.009404388714733543,0.8194270280062366,0.0024414499872364103,1
VGG16,4,20,0.3,0.018808777429467086,0.7410833157507224,0.0025121399899944662,1
VGG16,4,50,0.26,0.04075235109717868,0.7108616972339714,0.002065189997665584,1
VGG16,4,100,0.25,0.07836990595611286,0.702933429788269,0.0019679600023664533,1
EfficientNet,1,1,1.0,0.0012484394506866415,1.0,0.0005969078562754604,14
EfficientNet,1,5,0.8142857142857142,0.005082932049224185,0.962454054062951,0.0005599385701186424,14
EfficientNet,1,10,0.7999999999999999,0.009987515605493134,0.9448200493750859,0.0005015685730281153,14
EfficientNet,1,20,0.8,0.019975031210986267,0.936708380272913,0.0005211300025361457,14
EfficientNet,1,50,0.7828571428571428,0.04886748706973426,0.9370315366802534,0.0005815357169402497,14
EfficientNet,1,100,0.7721428571428571,0.09639736044230426,0.9388669963423527,0.0005484949996961015,14
EfficientNet,2,1,1.0,0.003003003003003003,1.0,0.0007199349871370942,2
EfficientNet,2,5,0.6,0.009009009009009009,1.0,0.0005650849954690785,2
EfficientNet,2,10,0.35,0.01051051051051051,1.0,0.0005172250035684556,2
EfficientNet,2,20,0.3,0.018018018018018018,0.8232318520910877,0.0006204150035046042,2
EfficientNet,2,50,0.26,0.03903903903903904,0.7554946646449012,0.0006040550069883466,2
EfficientNet,2,100,0.24,0.07207207207207207,0.7389622244135418,0.0008079050050582737,2
EfficientNet,4,1,1.0,0.003134796238244514,1.0,0.0007179699838161469,1
EfficientNet,4,5,0.4,0.006269592476489028,0.8503449055347546,0.000447940023150295,1
EfficientNet,4,10,0.7,0.0219435736677116,0.8196683128314594,0.0008171699824742973,1
EfficientNet,4,20,0.45,0.02821316614420063,0.820779915869674,0.0004348300048150122,1
EfficientNet,4,50,0.28,0.0438871473354232,0.7991153818284878,0.000473540008533746,1
EfficientNet,4,100,0.28,0.0877742946708464,0.7667479454771371,0.0004885099944658578,1
