model,distance_metric,query_image,k,precision,recall,ndcg,search_time_mean,search_time_std,birads_category
DenseNet121,L2,0,1,1.0,0.0012484394506866417,1.0,0.000645519990939647,0.00048481511435789684,1
DenseNet121,L2,0,5,0.8,0.004993757802746567,0.9828920819566879,0.0009741099900566041,0.0002750009977543692,1
DenseNet121,L2,0,10,0.9,0.011235955056179775,0.9667147927059906,0.0006552799954079091,0.0005108279529250054,1
DenseNet121,L2,0,20,0.8,0.019975031210986267,0.9628989484528617,0.00030699002090841534,9.569040799759751e-05,1
DenseNet121,L2,0,50,0.8,0.049937578027465665,0.9584600355931789,0.0003477900056168437,0.00026310249894815203,1
DenseNet121,L2,0,100,0.79,0.0986267166042447,0.9536641657729233,0.0006283900118432939,0.00023615757320478387,1
DenseNet121,L2,10,1,1.0,0.0012484394506866417,1.0,0.0002750299987383187,4.157354098916527e-05,1
DenseNet121,L2,10,5,0.8,0.004993757802746567,1.0,0.0007240899838507175,0.00025734115922825424,1
DenseNet121,L2,10,10,0.7,0.008739076154806492,0.9682087825918937,0.0003218799945898354,0.00013251173588508104,1
DenseNet121,L2,10,20,0.8,0.019975031210986267,0.9427455104714111,0.0002380099962465465,1.7166968496174685e-05,1
DenseNet121,L2,10,50,0.82,0.05118601747815231,0.9430808952639396,0.00030316999182105063,7.569861694493643e-05,1
DenseNet121,L2,10,100,0.8,0.09987515605493133,0.9458303574993788,0.0006761600030586124,0.000586135791756836,1
DenseNet121,L2,20,1,1.0,0.0012484394506866417,1.0,0.0003873500041663647,7.791297704755211e-05,1
DenseNet121,L2,20,5,0.8,0.004993757802746567,0.9047172294870751,0.0002773699932731688,2.5556233200275443e-05,1
DenseNet121,L2,20,10,0.9,0.011235955056179775,0.9196461703481416,0.000889979989733547,0.0005008852259880789,1
DenseNet121,L2,20,20,0.9,0.02247191011235955,0.9328210496667952,0.0005077100009657443,0.0001856978748679689,1
DenseNet121,L2,20,50,0.78,0.04868913857677903,0.9348230964174106,0.0004217499867081642,0.00016554221112541668,1
DenseNet121,L2,20,100,0.77,0.09612983770287141,0.938150407817766,0.0005225399974733592,0.000298748282586003,1
DenseNet121,L2,30,1,1.0,0.0012484394506866417,1.0,0.0005414200015366078,0.0005126736806922566,1
DenseNet121,L2,30,5,1.0,0.006242197253433208,1.0,0.0004143199999816716,0.00019508381134430636,1
DenseNet121,L2,30,10,0.9,0.011235955056179775,1.0,0.00042846000287681817,0.00012863825640916648,1
DenseNet121,L2,30,20,0.95,0.02372034956304619,0.9909880817244305,0.0006691499846056103,0.0003544931252335522,1
DenseNet121,L2,30,50,0.82,0.05118601747815231,0.9797438878704096,0.0003940800088457763,0.0001554272583720321,1
DenseNet121,L2,30,100,0.79,0.0986267166042447,0.9697066967521419,0.0007977999979630112,0.0004251751083858484,1
DenseNet121,L2,50,1,1.0,0.0012484394506866417,1.0,0.00030375999631360173,3.7469994716362004e-05,1
DenseNet121,L2,50,5,0.6,0.003745318352059925,1.0,0.000308040005620569,5.946735173889145e-05,1
DenseNet121,L2,50,10,0.7,0.008739076154806492,0.9447403758138471,0.0007368900231085717,0.0005753162286735547,1
DenseNet121,L2,50,20,0.7,0.017478152309612985,0.9254911936739129,0.0003777699894271791,0.00011645531528569394,1
DenseNet121,L2,50,50,0.68,0.04244694132334582,0.9135838125889546,0.0003056399989873171,3.377620521925078e-05,1
DenseNet121,L2,50,100,0.75,0.09363295880149813,0.9201664815209624,0.0005001400015316904,0.0002591571800856852,1
DenseNet121,Cosine,0,1,1.0,0.0012484394506866417,1.0,0.0008137100143358111,0.00041720435884624727,1
DenseNet121,Cosine,0,5,0.8,0.004993757802746567,0.9828920819566879,0.0002701299963518977,6.618576767392854e-05,1
DenseNet121,Cosine,0,10,0.8,0.009987515605493134,0.9641803458261541,0.0002718399977311492,3.489327025283259e-05,1
DenseNet121,Cosine,0,20,0.85,0.02122347066167291,0.9563394426985578,0.00048311999998986723,0.00027873829530019223,1
DenseNet121,Cosine,0,50,0.82,0.05118601747815231,0.9539203163116212,0.0006965399952605367,0.00031924176468742596,1
DenseNet121,Cosine,0,100,0.78,0.09737827715355805,0.9493931804734588,0.00048589999787509444,0.00028707845430898455,1
DenseNet121,Cosine,10,1,1.0,0.0012484394506866417,1.0,0.0002472399966791272,5.450229769589485e-05,1
DenseNet121,Cosine,10,5,1.0,0.006242197253433208,1.0,0.0005738499923609198,0.00043563518966508873,1
DenseNet121,Cosine,10,10,0.8,0.009987515605493134,0.9963488021549354,0.0007775599951855838,0.00015770981570871042,1
DenseNet121,Cosine,10,20,0.8,0.019975031210986267,0.9678257308353333,0.0003670300124213099,0.00020083000665545533,1
DenseNet121,Cosine,10,50,0.82,0.05118601747815231,0.9573359460691451,0.0008916399790905416,0.00043370241446614825,1
DenseNet121,Cosine,10,100,0.76,0.09488139825218476,0.953161737936038,0.0008996799821034074,0.0002889203450666114,1
DenseNet121,Cosine,20,1,1.0,0.0012484394506866417,1.0,0.000366420007776469,7.24714034719985e-05,1
DenseNet121,Cosine,20,5,0.8,0.004993757802746567,0.9558295932317544,0.00027374000055715444,1.7870093261105537e-05,1
DenseNet121,Cosine,20,10,0.9,0.011235955056179775,0.9504206262110481,0.00031793999951332805,4.017869972416456e-05,1
DenseNet121,Cosine,20,20,0.85,0.02122347066167291,0.9521572462747586,0.0007643199875019491,0.00037600113955043647,1
DenseNet121,Cosine,20,50,0.76,0.04744069912609238,0.9461539374362542,0.0003353200037963688,4.8584344124292194e-05,1
DenseNet121,Cosine,20,100,0.78,0.09737827715355805,0.9453739437160061,0.0007629100000485778,0.0003860957195759909,1
DenseNet121,Cosine,30,1,1.0,0.0012484394506866417,1.0,0.0002886699978262186,4.625386479826054e-05,1
DenseNet121,Cosine,30,5,1.0,0.006242197253433208,1.0,0.00028310000197961926,2.5767673429610466e-05,1
DenseNet121,Cosine,30,10,1.0,0.012484394506866416,1.0,0.0006115700001828372,0.00046939815439525466,1
DenseNet121,Cosine,30,20,0.9,0.02247191011235955,0.9950892878961242,0.0003870500018820167,0.00012949515703219693,1
DenseNet121,Cosine,30,50,0.84,0.052434456928838954,0.9818263271479947,0.0002363199950195849,2.242457025555078e-05,1
DenseNet121,Cosine,30,100,0.8,0.09987515605493133,0.970097162338504,0.0007295899908058345,0.00031288410635801493,1
DenseNet121,Cosine,50,1,1.0,0.0012484394506866417,1.0,0.0004353799857199192,8.562129759713029e-05,1
DenseNet121,Cosine,50,5,0.8,0.004993757802746567,0.9828920819566879,0.0004349100054241717,0.00022534576731893634,1
DenseNet121,Cosine,50,10,0.7,0.008739076154806492,0.952194863477961,0.0005973599967546761,0.0001857788754387179,1
DenseNet121,Cosine,50,20,0.75,0.018726591760299626,0.9333132637493378,0.00034308000467717645,0.000123283496529213,1
DenseNet121,Cosine,50,50,0.76,0.04744069912609238,0.9284340428266732,0.0007890800014138221,0.0005174144957800286,1
DenseNet121,Cosine,50,100,0.74,0.09238451935081149,0.9290453134015089,0.00031979000195860865,4.1561891802521476e-05,1
